Zeit;Kanal A
(ms);(mV)

-25,00769136;3,71616600
-25,00269136;3,71616600
-24,99769136;4,83144700
-24,99269136;5,20300200
-24,98769136;4,64566900
-24,98269136;3,71616600
-24,97769136;4,45989200
-24,97269136;4,08772100
-24,96769136;5,38877900
-24,96269136;2,41572300
-24,95769136;2,41572300
-24,95269136;3,90194400
-24,94769136;3,34461100
-24,94269136;3,15883400
-24,93769136;2,41572300
-24,93269136;2,04355300
-24,92769136;2,41572300
-24,92269136;2,04355300
-24,91769136;1,85777500
-24,91269136;0,92888770
-24,90769136;0,92888770
-24,90269136;0,55733270
-24,89769136;-0,18577760
-24,89269136;1,30044300
-24,88769136;-0,74311020
-24,88269136;0,37155510
-24,87769136;-0,74311020
-24,87269136;-0,74311020
-24,86769136;-1,30044300
-24,86269136;-1,67199800
-24,85769136;-3,15883400
-24,85269136;-2,60150100
-24,84769136;-0,92888770
-24,84269136;-2,41572300
-24,83769136;-4,08772100
-24,83269136;-3,15883400
-24,82769136;-4,83144700
-24,82269136;-4,27349900
-24,81769136;-6,87561500
-24,81269136;-6,50406000
-24,80769136;-8,54761300
-24,80269136;-8,54761300
-24,79769136;-9,84867000
-24,79269136;-10,03445000
-24,78769136;-10,22023000
-24,78269137;-10,40600000
-24,77769137;-11,70706000
-24,77269137;-10,40600000
-24,76769137;-8,73400600
-24,76269137;-7,06139300
-24,75769137;-7,43294800
-24,75269137;-4,45989200
-24,74769137;-3,15883400
-24,74269137;-1,67199800
-24,73769137;-0,92888770
-24,73269137;2,41572300
-24,72769137;1,11466500
-24,72269137;1,48622000
-24,71769137;1,48622000
-24,71269137;-0,37155510
-24,70769137;0,55733270
-24,70269137;0,92888770
-24,69769137;-2,04355300
-24,69269137;-2,60150100
-24,68769137;-2,60150100
-24,68269137;-3,34461100
-24,67769137;-2,97305600
-24,67269137;-2,97305600
-24,66769137;-3,90194400
-24,66269137;-3,34461100
-24,65769137;-3,90194400
-24,65269137;-3,53038900
-24,64769137;-3,34461100
-24,64269137;-1,30044300
